anime_name,anime_id,type,episodes,score,rank,popularity,scored_by,likes,aired_from,aired_to,duration,Storyline
Shin Megami Tensei: Tokyo Mokushiroku,1338,OVA,2,5.38,10730,6508,2292,13,1995-04-21T00:00:00+00:00,1995-06-21T00:00:00+00:00,30 min per ep,"Handsome and effeminate, quiet but proud, the sinister Akito Kobayashi has a passion for the occult and has developed a computer program to summon demons and the living dead. But little does he know that fellow high school students Kojirou Souma and Saki Yagami are reincarnations of powerful and benevolent spirits. When the pair's friends have become targeted by demons trying to harvest their life energies, they must harness their dark metaphysical powers to destroy Kobayashi's threatening program, or risk losing their loved ones forever. [Written by MAL Rewrite]"
Cool Devices,1339,OVA,11,6.23,,6319,2206,16,1995-04-25T00:00:00+00:00,1997-11-28T00:00:00+00:00,24 min per ep,"Welcome to a series of tapes the likes of which you've never seen before! Strong stories, highly charged with erotic content are all presented without Japan's export censorship (as they were intended to be seen). They do not follow a single story. They break all the rules. They are Cool Devices. They aren't for kids, but they might be for you if you have the guts. Welcome to a new world... and be sure to wash your hands when you're done. (Source: Official Site)"
Yami no Shihosha Judge,1340,OVA,1,5.34,10837,8214,1479,3,1991-06-15T00:00:00+00:00,,48 min,"Hoichiro Ohma works in an office. Everybody knows him as a silent, humble man. Even his girlfriend, Nanase, doesn't suspect that he could be something more, but he is. When a person dies as a victim of murder; when someone kills himself with a curse on his lips; when someone's death needs to be judged, he is there, for he is a Judge Of Darkness. Following the Laws Of Darkness, with a book made of human skin and an unusual parrot, he pronounces judgement over living criminals that would otherwise go free. (Source: ANN)"
Violence Jack: Harlem Bomber-hen,1341,OVA,1,5.21,11107,5220,4914,11,1986-06-05T00:00:00+00:00,,37 min,"Kanto Hell Earthquake has demolished the metropolitan completely. After the earthquake, Slum King is kidnapping girls and sell them as sex slaves. Mari is wandering on the devastated field looking for her lover, Ken. But she is also kidnapped by them. While she is tortured and trained as a sex slave, Ken saves her. Ken has become the member of Slum King. The king offers condition to him; in return for releasing her, he has to kill Violence Jack. (Source: AniDB)"
Violence Jack: Jigoku Gai-hen,1342,OVA,1,5.56,10201,5527,4516,14,1988-12-06T00:00:00+00:00,,58 min,"The World as we know it has been torn apart shattered by a series of natural disasters that have turned civilization into a brutish nightmare of survival and has left whole cities buried beneath the Earth. It's now a lethal and chaotic place, a place where only the strongest and most savage remain alive. The strongest of them all is a giant warrior known as Violence Jack… Violence Jack tries to avert a civil war brewing among the wretched inhabitants of a subterranean metropolis called Evil Town. Based on a character created by manga horror specialist, Go Nagai. (Source: AniDB)"
Violence Jack: Hell's Wind-hen,1343,OVA,1,5.47,10464,6048,3780,4,1990-11-09T00:00:00+00:00,,54 min,"The survivors of Kanto's Hell Earthquake built a new city and christened it ""Hope Town"". However, this peaceful town becomes a nightmare when it's raided by the motorcycle gang, ""Hell's Wind"". They abduct the women while the remaining townsfolk are left helpless against them. Meanwhile, a boy, Subaro, meets Jun. Jun's lover was previously murdered, and the duo help one another to fight against Hell's Wind. The battles are getting more and more difficult, but with the appearance of Violence Jack, the citizens seem to gain the upper hand against Hell's Wind. (Source: AniDB)"
Eightman After,1344,OVA,4,6.17,7837,7859,1548,5,1993-08-21T00:00:00+00:00,1993-11-22T00:00:00+00:00,28 min per ep,"Private detective Hazama Itsuru is hired by Professor Tani to investigate a cyborg parts theft which eventually leads him to meet Sachiko Yokogawa, the original 8 Man's love interest. Living her new life working for the Biotecho Corp., Sachiko finds herself involved with a new 8 Man, who appears after Hazama is fatally wounded by an unknow cyborg. Amidst a violent urban background with cyber-junkies creating chaos around the city, this other 8 Man will fight criminals in a more agressive way."
Soujuu Senshi Psychic Wars,1345,OVA,1,3.12,12000,7846,1861,5,1991-02-22T00:00:00+00:00,,50 min,"Ukyo Rettsu, a surgeon, treats a mysterous old woman for a mysterious ""cancer."" The growth turns out to be a messenger from the ancient past of Japan heralding a demonic invasion of the Earth. Ukyo must go back in time and fight the race of ancient demons. (Source: AniDB)"
AD Police,1346,OVA,3,6.26,7370,4601,5369,13,1990-05-25T00:00:00+00:00,1990-11-22T00:00:00+00:00,27 min per ep,"The year is 2027 in MegaTokyo, six years before the Knight Sabers will make their debut. Boomers (artificial humans) are still a relatively new advancement, and the implementation and integration of boomers into society is still a bit buggy -- sometimes fatally so. Whenever a boomer incident occurs, though, there is the Advanced Police, a special force trained to deal with boomer crimes. Leon McNichol is a rookie in the AD Police, and is just starting to become exposed to the horrors and tragedies one finds every day in MegaTokyo. He and his veteran partner, Gina Marceau, slowly learn about the ever-fading line that separates man from machine."
Bubblegum Crisis,1347,OVA,8,7.29,2459,2798,12276,400,1987-02-25T00:00:00+00:00,1991-01-30T00:00:00+00:00,41 min per ep,"The year is 2032, seven years after the Second Great Kanto Earthquake decimated Tokyo. Now, the city is reborn as MegaTokyo, built from the labors of mechanical beasts known as ""Boomers."" Originally created to benefit humanity, the mysterious corporation known as Genom now produces Boomers with incredible destructive power as a new type of advanced weaponry, capable of disguising themselves as humans. The AD Police is a new special unit to counter the ever-increasing Boomer-related crimes. Overwhelmed by the sheer amount of crimes and disparity in strength, the AD Police poses little opposition to the Boomers. A mysterious vigilante force known as the Knight Sabers, wearing powersuits more advanced than the military, is the citizens' only hope for protection. Led by Sylia Stingray, Priscilla ""Priss"" Asagiri, Nene Romanova, and Linna Yamazaki, these beautiful girls take out any Boomer that steps out of line. [Written by MAL Rewrite]"
Bubblegum Crash,1348,OVA,3,6.55,5876,5416,4043,10,1991-05-25T00:00:00+00:00,1991-12-21T00:00:00+00:00,45 min per ep,"The saga of the Knight Sabers continues as the group tries to find out who or what is behind the recent string of robberies, murders, and Boomer malfunctions which are somehow related to the creation of an advanced artificial intelligence. Furthermore, it seems that the Knight Sabers may be breaking up. (Source: ANN)"
A.D. Police (TV),1349,TV,12,5.97,8776,5269,3498,13,1999-04-08T00:00:00+00:00,1999-07-01T00:00:00+00:00,24 min per ep,"Set a few years before Bubblegum Crisis Tokyo 2040, A.D. Police chronicles the tales of Mega-Tokyo's special police division designed to control rogue Boomers in the city. A.D. Police Officer Kenji Sasaki faces a major dilemma: he loses another partner to a rabid boomer. A day after he's sent off-duty, he receives a new partner in the form of German cop Hans Kleif. Funny thing is that Kenji sucker-punched Hans at a bar the night before. Not only does Kenji face the everyday task of controlling Boomers, he has to learn to adjust with his new partner.  (Source: ANN) "
Parasite Dolls,1350,OVA,3,6.55,5846,4551,4561,22,2003-05-22T00:00:00+00:00,2003-07-24T00:00:00+00:00,30 min per ep,"A secret unit of the AD Police, known as Branch, specializes in crimes involving humanoid robots called 'Boomers'. Branch officer Buzz must cope with having a Boomer for a partner, while officer Michaelson finds the line between human and robot to be a thin one. Together they serve to protect a world that is slowly deconstructing around them. Set in the Bubblegum Crisis universe. (Source: ANN)"
Angel Cop,1351,OVA,6,5.93,8933,4511,5136,55,1989-09-01T00:00:00+00:00,1994-05-20T00:00:00+00:00,29 min per ep,"Sometime in the future, terrorism in Japan has become commonplace, and the police have become almost as brutal as criminals. A member of the Special Security Force known as Angel, is the best of the best, stopping at nothing in her fight for justice. Things get interesting for Angel and her partner, Raiden, when they begin investigating a series of murders in which the victims were known criminals, killed in very unpleasant ways. This trio of killers known as Hunters, is a group of psychics that have banded together to hunt down the lowest scum in the city and bring them to justice. After a couple of encounters between the cops and the psychics, two of the psychics begin to think that maybe they're not the good guys after all; but the third prefers killing to morality. Augmented by cybernetics from a mysterious source, this third hunter heads out on a killing spree, with the Special Security Force as the first target. Even with help from the other two psychics and her newly cyborged partner (after an unfortunate accident), Angel is going to have her work cut out trying to find the rogue psychic and the organization behind the Hunters."
Cyber City Oedo 808,1352,OVA,3,7.18,2951,3767,8797,137,1990-06-21T00:00:00+00:00,1991-10-04T00:00:00+00:00,43 min per ep,"It is the year 2808. Three convicts are recruited as members of the Cyber Police to keep major criminal activity in Oedo (formerly Tokyo) in check. In return, their life sentences will be reduced by a few years for every mission accomplished. However, to ensure that these convicts are doing their job, the police have secured special collars around their necks. If they attempt to remove their collars or fail to meet the time limit of their mission, the collars will self-destruct. (Source: ANN)"
The Urotsuki,1353,OVA,3,5.66,,7932,872,5,2002-05-03T00:00:00+00:00,2002-11-15T00:00:00+00:00,40 min per ep,"An immortal beast-man of supernatural lusts, Amano Jaku escapes prison to gratify his appetites at Meishin College. But the campus is not just a hotbed of luscious coeds – it’s the breeding ground of a hideous monster! The Ultra God is Amano Jaku’s nemesis, a vile killing machine, and the ancient harbinger of the coming apocalypse. Now, immortals will clash in a battle that will bathe the Earth in innocent blood! (Source: AniDB)"
Makyuu Senjou,1355,OVA,2,5.07,11361,11409,269,0,1991-03-22T00:00:00+00:00,1991-05-25T00:00:00+00:00,47 min per ep,"When computer genius Joe Takami hacks into a top secret computer system in search of information on a mysterious girl, he gets much more than he bargained for. Now, after uncovering evidence of a secret government experiment, he's running for his life, and everyone, including his best friend and his personal computer, has turned against him. As a ruthless team of high-tech ninja follows his trail, Joe must depend upon the unpredictable powers that lie within him in order to survive. Can he find a way to evade the government assassins before they terminate the human genetic experiment named Joe Takami. (Source: ANN)"
Hokuto no Ken 2,1356,TV,43,7.55,1474,3520,11079,111,1987-03-12T00:00:00+00:00,1988-02-18T00:00:00+00:00,25 min per ep,In the second series after Raoh has been defeated by Kenshiro a new rival appears. The Gentou Kouken warriors. Falco the successor of the Gentou Kouken takes orders from an evil ruler by the name of Jacko. He claims to be the man chosen by the Tentei and issues orders to his subordinates to capture anyone living in order to build up his Imperial Capital. Kenshiro once again rises out of the shadows and puts an end to his tyrannical ways. Amidst the mayhem Lynn gets captured and gets taken to the land of the Shura where only ruthless fighters exist. Now Kenshiro must pursue the captor and defeat the 3 Rasho of the land in order to escape with his life and with Lynn.
Shin Hokuto no Ken,1357,OVA,3,6.96,3957,4819,5257,13,2003-07-24T00:00:00+00:00,2004-05-28T00:00:00+00:00,58 min per ep,"In a post-apocalyptic Earth, the water has become entirely toxic, except for some kept safe in a reservoir. A fortified zone has been created by a man named Sanga, he calls it The Lastland. A group of villagers have discovered safe water, and Sanga wants it. He and his band of killers go to kill everyone and steal it. As they do a mysterious man appears out of nowhere, instantly killing some of Sanga's men. His name is Kenshiro, and he can beat any man with his martial art, Hokuto Shin Ken. Sanga will do anything for the water, and Kenshiro will do anything to try and stop him. (Source: ANN)"
Hokuto no Ken Movie,1358,Movie,1,7.21,2857,4139,10523,101,1986-03-08T00:00:00+00:00,,1 hr 50 min,"Following a cataclysmic nuclear war, the world teeters on the brink of complete destruction. Civilization is polarized into a degenerate society where opposing packs of marauding scavengers prey on helpless, homeless nomads. For those who are lucky enough to survive the constant brutality and danger, it is a bleak existence. Life an death blur into abstractions. The only hope left for mankind is to find a hero worthy of becoming the next ""Fist of the North Star"" - an enlightened warrior - who is capable of leading those with the will to survive out of this barrenness into a new world. But in this savage no-man's land of shifting loyalties and power-hungry demi-gods, heroes are in short supply. (Source: AniDB)"
Nikutai Ten'i,1359,OVA,2,6.29,,5230,4388,34,2003-12-21T00:00:00+00:00,2004-03-25T00:00:00+00:00,28 min per ep,"Kenichi and several of his friends stay after school to look at a new archaeological find, a bizarre looking mirror. Suddenly, the entire building is transported to an alternate dimension and a magic field surrounds it to prevent them from escaping. Also, their minds have switched to other people's bodies. The only way to switch bodies is when their sexual emotions are high. Kenichi must find a way to return everything back to normal before the dimension falls apart. (Source: ANN)"
Makai Tenshi Djibril,1360,OVA,4,6.45,,5643,3238,25,2004-11-26T00:00:00+00:00,2005-06-24T00:00:00+00:00,30 min per ep,"One hot summer day, Naoto Kamino finally musters up the courage to reveal his true feelings for his crush, Manabe Rika. Unfortunately, at the same moment, a young boy named Asumo appears (though he refers to himself as the devil). He plots to kidnap Rika and will stop at nothing to obtain her - but Rika has a little secret of her own, she can transform and obtain magical powers during sex..."
Final Fantasy: The Spirits Within,1361,Movie,1,6.34,6969,2100,46790,52,2001-07-02T00:00:00+00:00,,1 hr 45 min,"The year is 2065, and the planet of Earth is far removed from the place that it was in the past. Deadly alien creatures known as Phantoms have appeared all over the planet, and mere contact with these entities is lethal, whether it be an instant death or a prolonged decline. In order to try and salvage what little of the human race is left, large force-field barriers have been constructed around certain cities to repel the Phantoms. Seeking a more permanent solution to this invasion are scientists Aki Ross and her mentor, Dr. Sid, whose investigations have revealed that there exists a form of spiritual, Gaia energy that can eradicate the Phantom's presence from this world. Aki and Sid aren't alone in their quest through Final Fantasy: The Spirits Within; the human council and the military squad ""Deep Eyes"" are ready to help. Not everyone is convinced of this plan though. Aki, Sid, Grey, and their allies have to band together against forces both alien and human if they are to have any chance at restoring peace to Earth. An enemy whose mere touch is fatal, the Phantoms appear the more dangerous enemy, but as they will come to find out, their human nemeses are also not to be trifled with."
Street Fighter II Movie,1362,Movie,1,7.16,3089,3554,16413,121,1994-08-06T00:00:00+00:00,,1 hr 41 min,"Get your quarters ready, because the world's top fighters are about to go head to head in this explosive animated adaptation of the classic Street Fighter II arcade game! M. Bison's plan to crush those who would oppose his organization, Shadowloo, is simple: brainwash the strongest martial artists around with his dreaded psycho power, and turn them into living weapons! To stop him, Interpol agent Chun-Li must team up with Major Guile of the United States Air Force, but that's no small feat. They'll have to put aside their differences and learn to work together, and fast. Bison is closing in on Ryu, a traveling vagabond said to be the best fighter in the world. Fortunately (or not), Ryu is a hard man to find, but the same can't be said of his eternal rival, Ken. And it might just be through Ken that Bison will get what he wants! Can the World Warriors beat Bison to the punch? (Source: Discotek)"
Detective Conan Movie 04: Captured in Her Eyes,1363,Movie,1,8.03,516,2435,31773,76,2000-04-22T00:00:00+00:00,,1 hr 40 min,"On a rainy afternoon, the Detective Boys witness a murder across the street. Barred by traffic, the culprit slips away and Conan Edogawa is left a single clue by a dying detective. Days later, another detective is found murdered in a parking lot, leaving the police rattled. Suspicious that the culprit is one of their own, everyone in the police department without an alibi is suspect. But despite being on high alert, they are outmaneuvered and suffer yet another attack—this time with Ran Mouri finding herself in the crossfire. Traumatized, Ran wakes in the hospital with retrograde amnesia, remembering nothing about her life. Soon released, she struggles to remember her past and grows fearful of not regaining her memories before being targeted by the killer for what she witnessed. As she is guarded by friends and family, it is up to Conan to piece together the clues and find who the murderer is before they strike again. [Written by MAL Rewrite]"
Detective Conan Movie 05: Countdown to Heaven,1364,Movie,1,8.12,399,2407,32362,45,2001-04-21T00:00:00+00:00,,1 hr 40 min,"Conan Edogawa, the Detective Boys, and Professor Hiroshi Agasa decide to visit the Nishitamashi Twin Towers. There they run into Ran Mouri; her closest friend, Sonoko Suzuki, and Ran's father, the famous Kogorou Mouri. Learning the trio are attending the towers' grand opening, Conan and company tag along for a private tour of its floors. However, as preparations are finalized for the opening ceremony, their visit takes an unexpected turn—three brutal murders occur, seemingly linked to a mysterious Porsche 356A. Soon after, as Conan and the detectives dive deeper into the case, the towers are rocked by an explosion. With fire rapidly spreading and lives in danger, police desperately seek to evacuate everyone. But when the elevator, their only means to escape goes down, Conan and company are left behind. With help on its way, they frantically try to keep everyone safe, but time is running out if they want to bring the perpetrators to justice. [Written by MAL Rewrite]"
Detective Conan Movie 06: The Phantom of Baker Street,1365,Movie,1,8.3,227,2141,39366,196,2002-04-20T00:00:00+00:00,,1 hr 47 min,"Noah's Ark—the latest in VR technology and a milestone of human innovation—is set for a showcase to Japan's privileged children. They have the honour of beginning a new revolution in gaming; however, their carefree fun is cut short when a company employee is found murdered, with his dying message pointing to a clue hidden within the Ark. Along with the Detective Boys and Ran Mouri, Conan Edogawa enters Noah's Ark to solve this mystery and ensure the perpetrator is caught. But once they're inside the Ark, it takes on a mind of its own, imprisoning them and the children within its worlds. To escape and bring the murderer to justice, Conan and company must navigate a simulated 19th century London and track down the infamous Jack the Ripper—with the lives of 50 innocent children depending on them. [Written by MAL Rewrite]"
Detective Conan Movie 07: Crossroad in the Ancient Capital,1366,Movie,1,7.81,842,2669,26206,27,2003-04-19T00:00:00+00:00,,1 hr 48 min,"Under the cover of darkness, a masked samurai murders six men across the metropolis of Japan: three in Tokyo, one in Osaka, and the last in Kyoto. In their investigation, the police learn that each man was a member of the Genjibotaru—a thieves gang centered on the theft of Buddhist statues and artifacts and who go by the names of Minomoto no Yoshitune's servants. Without a clear motive or clues to the other members' identities, the case runs dry until a Kyoto temple calls for the famous Kogorou Mouri. Having received an anonymous letter containing a peculiar puzzle, the temple monks ask for his assistance in solving it to recover their long lost statue. Meanwhile, Conan Edogawa and high school detective Heiji Hattori team up in order to solve the cryptic puzzle and find the murderer, as Hattori searches for his childhood love. With Hattori's knowledge of Kyoto, the two scour the streets and gradually discover the truth, but not before the murderer strikes again—killing another Genjibotaru member and, after repeated attempts on Hattori's life, eventually kidnapping Hattori's childhood sweetheart. It is only by working together to bring buried clues to light can Conan and Hattori hope to end the rogue samurai's bloodshed and save Hattori's love. [Written by MAL Rewrite]"
Detective Conan Movie 08: Magician of the Silver Sky,1367,Movie,1,8.08,450,2550,28244,34,2004-04-17T00:00:00+00:00,,1 hr 48 min,"Once again, Kaitou Kid crosses swords with Conan Edogawa in this annual installment of the Detective Conan movie franchise. After receiving a letter from the thief, famous actress Juri Maki seeks the help of private detective Kogorou Mouri to protect the Star Sapphire—the ""Jewel of Destiny,"" said to represent faith, fate, and hope. Thinking he has deciphered Kid's riddle, Kogorou personally shows up to the newly constructed space theater where Juri is acting in the play ""Josephine"" in order to catch Kid in the act. The next day, Conan and the gang are invited by Juri to her holiday home, to celebrate the thwarting of Kid's plan and the success of the play. However, their triumph crumbles when a murder occurs during the flight there. Although unintentional, this sets off a series of events that escalate to catastrophic results. Conan and Kid, unlikely allies that they are, must work together to save both their friends and every other passenger aboard the plane. [Written by MAL Rewrite]"
Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!,1368,OVA,1,7.39,2013,4593,7129,2,2006-03-15T00:00:00+00:00,,23 min,"One day Mori Kogoro's private detective agency receives a blackmail call. It turns out that the caller has dialed the wrong number. Conan is able to identify the voice on the phone, it's similar to that of his old friend Heiji, who's also a high school detective but in Osaka. They join once again forces to solve the case and find the jewel which was stolen. But they are not the only ones who are after the jewel. The notorious master thief Kaitou Kid has taken an interest in this piece, which is worth 100,000,000 Yen, as well and now it's up to Heiji and Conan to be the first to find the culprit and acquire the jewel. (Source: AniDB)"
Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,1369,OVA,1,7.24,2683,4194,9693,10,2000-01-01T00:00:00+00:00,,24 min,"Mitsuhiko Tsuburaya lends Conan Edogawa a massive amount of manga, which Conan starts reading, despite the overwhelming quantity. Elsewhere, Kogorou Mouri is asked by the Mine family to protect the treasured sword in their dojo, as Kaitou Kid has sent a note of his intent to steal it. Upon arriving at the dojo, Conan and the others meet Yaiba Kurogane. Together, they aim to thwart the phantom thief's plans. However, Conan begins to notice something strange about the case... [Written by MAL Rewrite]"
Atama Yama,1370,Movie,1,6.41,6626,6083,4079,4,2002-01-01T00:00:00+00:00,,10 min,"After a stingy man eats some cherry seeds, a cherry tree grows on his head and he gets into a lot of trouble."
Hi no Tori,1371,TV,13,7.12,3262,5774,2060,25,2004-03-21T00:00:00+00:00,2004-06-27T00:00:00+00:00,25 min per ep,"From prehistoric times to the distant future, Hi no Tori portrays how the legendary immortal bird Phoenix acts as a witness and chronicler for the history of mankind's endless struggle in search of power, justice, and freedom. The Dawn Since time immemorial, people have sought out the legendary Phoenix for its blood, which is known to grant eternal life. Hearing about rumored Phoenix sightings in the Land of Fire, Himiko—the cruel queen of Yamatai obsessed with immortality—sends her army to conquer the nation and retrieve the creature. Young Nagi, his elder sister Hinaku, and her foreign husband Guzuri are the only survivors of the slaughter. But while Nagi is taken prisoner by the enemy, elsewhere, Hinaku has a shocking revelation. The Resurrection In a distant future where Earth has become uninhabitable, Leona undergoes surgery on a space station to recover from a deadly accident. However, while also suffering from amnesia, his brain is now half cybernetic and causes him to see people as formless scraps and robots as humans. Falling in love with Chihiro, a discarded robot, they escape together from the space station to prevent Chihiro from being destroyed. Yet as his lost memories gradually return, Leona will have to confront the painful truth about his past. The Transformation Yearning for independence, Sakon no Suke—the only daughter of a tyrant ruler—kills priestess Yao Bikuni, the sole person capable of curing her father's illness. Consequently, she and her faithful servant, Kahei, are unexpectedly confined to the temple grounds of Bikuni's sanctuary. While searching for a way out, Sakon no Suke assumes the priestess's position and uses a miraculous feather to heal all those reaching out for help. The Sun After his faction loses the war, Prince Harima's head is replaced with a wolf's. An old medicine woman who recognizes his bloodline assists him and the wounded General Azumi-no-muraji Saruta in escaping to Wah Land. But their arrival at a small Wah village is met with unexpected trouble as Houben, a powerful Buddhist monk, wants Harima dead. With the aid of the Ku clan wolf gods that protect the village's surroundings, he survives the murder attempt. After tensions settle, Saruta uses his established reputation in Wah to persuade the villagers to welcome Harima into their community. Over a period of time, Harima becomes the village's respected leader under the name Inugami no Sukune. But while the young prince adapts to his new role, he must remain vigilant as new dangers soon arise and threaten his recently acquired tranquility. The Future Life on Earth has gradually ceased to exist, with the survivors taking refuge in underground cities. To avoid human extinction, Doctor Saruta unsuccessfully tries to recreate life in his laboratory. However, the unexpected visit of Masato Yamanobe, his alien girlfriend Tamami, and his colleague Rock Holmes reveals a disturbing crisis: the computers that regulate the subterranean cities have initiated a nuclear war that will eliminate all of mankind. [Written by MAL Rewrite]"
Taiho Shichau zo (TV),1372,TV,47,7.53,1519,3579,7366,157,1996-10-05T00:00:00+00:00,1997-09-27T00:00:00+00:00,24 min per ep,"Tokyo Highway Patrolwomen Natsumi and Miyuki get off to a bad start when Miyuki busts Natsumi for reckless moped driving on her way to work. Things get worse when they find out they're going to be partners! A continuation of the OVA series, the adventures of Tokyo policewomen Natsumi and Miyuki continue in the You're Under Arrest TV series. It's back to Bokuto Precinct, where demented felons and bashful (but hunky) policemen abound, and where the cutest girl in the office... isn't a girl. (Source: Rightstuf)"
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,1373,Special,4,7.25,2655,7006,1972,5,2003-12-22T00:00:00+00:00,2004-10-13T00:00:00+00:00,23 min per ep,"Black Jack is the ""Surgeon with the Hands of God,"" a mysterious young Japanese doctor who travels the world performing feats of miraculous surgical genius. Though all recognize his skill, Black Jack is widely hated, especially by the medical establishment, because he refuses to conform to rules of any kind, and because he charges outrageous fees for his services. Black Jack's only companion is Pinoko, a child he created out of a special kind of tumor called a teratoma, who insists she is his wife."
Kyoushoku Soukou Guyver (2005),1374,TV,26,7.25,2673,4008,8146,136,2005-08-06T00:00:00+00:00,2006-02-18T00:00:00+00:00,23 min per ep,"Sho Fukamachi, a normal teenager accidentally found an alien object called Unit and thus, changed his life forever. The Unit bonded with Sho, resulting in an incredibly powerful life-form called Guyver. With this great power, Sho battles the mysterious Chronos organization and it's Zoanoids, in order to protect his friends and his world. Unknown to Sho, the battle against Chronos will lead to the discovery of the origins of human, their destiny, and the Creators... (Source: ANN)"
Watashi no Ashinaga Ojisan,1375,TV,40,7.72,1024,4706,5187,122,1990-01-04T00:00:00+00:00,1990-12-23T00:00:00+00:00,23 min per ep,"Daddy Long Legs is based on the novel of the same name by Jean Webster. It chronicles the adventures of Judy Abbott, an orphan in New York. During a meeting for the superintendent, with other important and rich people in attendance, a scholarship is offered to Judy by a mysterious benefactor. Catching only a glimpse of his tall shadow as he leaves, Judy calls him ""Daddy Long Legs"" and writes him letters every month as per his request. While studying at the Lincoln Memorial school, she makes many friends and learns about a world she never knew about before. (Source: ANN)"
Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,1377,TV,13,6.68,5216,7669,1164,7,2004-08-06T00:00:00+00:00,2004-11-01T00:00:00+00:00,25 min per ep,"Maetel abandoned her mother and her home planet, the doomed and frozen La Metal, where people must become cyborgs to survive. When she is beckoned to return, her options seem slim: follow her mother's path (and with it a robot mind and the contempt of all humans), or run away and fight with humans against the machines. Yet, she is not without comrades and defenders. If she can accept the friendship of beings of metal who desire peace, and oppose those who think being made of flesh and blood is enough to make one human, she may still have a chance to find her own path. (Source: Anime-Planet)"
Sengoku Kitan Youtouden Movie,1378,Movie,1,5.94,8909,7191,2121,4,1989-05-27T00:00:00+00:00,,1 hr 26 min,"The year a comet races across the sky, splitting the heavens, from the depths of the Earth the dark god shall arise once again. Then, the dark evil lurking in the shadows shall come out of the depths of Hell and show itself in the present world. The emotions of the blade of the wind shall collect at the source of the blue light. And the three blades shall become one, vanquishing evil. The year is 1580, and the unholy armies of Lord Nobunaga Oda steadily spread across Japan. Narrowly escaping the slaughter of her clan, a young ninja steals into the shadows. She is Ayame, the last of the Kasumi clan, and the dagger she wields is one of three, mystical blades. She is joined by Sakon and Ryoma, renegade ninja and the possessors of the sacred sword and spear. Now, these shadow warriors must unite their weapons and skills to fulfill `The Prophesy of the Enchanted Swords` or die trying.. (Source: AniDB)"
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,1379,Movie,1,7.76,929,2487,22300,43,2005-02-19T00:00:00+00:00,,29 min,"After running away from the grim future that awaited her back in her home country, a young girl takes upon a new name and identity—inspired by the man who sacrificed his life to help her escape. Alongside her newfound companion, a talking motorcycle, the two find themselves a new home in the forest—where lives an elderly woman with an expertise in guns. Under the woman's care, the girl is trained in marksmanship and motorcycle handling among other various skills needed to survive. Although the girl is happy with her current life, her guilt regarding her savior's death continues to build within herself. She still feels responsible for her savior's death, and considers the consequences of using his name as her own. In doing so, she is denying her own identity and existence by trying to replicate another person's life, instead of living her own. Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On. follows the journey of a young girl as she begins to come to terms with her new identity. [Written by MAL Rewrite]"
Blue Gender: The Warrior,1380,Movie,1,6.23,7544,5237,4681,5,2002-11-20T00:00:00+00:00,,1 hr 39 min,"It is a time of chaos. Earth is no longer what it used to be. It has been infested with a bug like species called the Blue. 20 years ago Yuji Kaido, who has a mysterious disease, is put into suspended animation until a cure is found. When he wakes up Yuji learns that it’s been more than 20 years since he was put into suspended animation, and the world is now controlled by these creatures. He then decides to join a group of soldiers fighting against the Blue for hope of a better future. (Source: ANN)"
Seikai no Monshou Special,1381,Special,1,7.17,3002,8038,1253,3,2000-04-07T00:00:00+00:00,,1 hr 30 min,A compilation of the Seikai no Monshou series with additional footage.
Yuusha-Ou GaoGaiGar Final,1382,OVA,8,8.08,463,5680,3484,157,2000-01-21T00:00:00+00:00,2003-03-21T00:00:00+00:00,32 min per ep,"Following Gutsy Galaxy Guard`s victory over the Zonder Empire and the 31 Primevals, a new threat makes their appearance on Earth. GGG - with Guy Shishio and the newly-constructed GaoFighGar - team up with their French counterpart Chasseur to battle the evil organization BioNet. Among Chasseur`s ranks is Renais Cardiff Shishioh - a former BioNet cyborg with the relentless pursuit of destroying those who took away her humanity. But as GGG and Chasseur fight the BioNet, GGG`s bases around the world are suddenly attacked, and the recently-discovered ""Q-Parts"" and the original Gao Machines are stolen by Mamoru Amami, who has been abducted and cloned by an even greater threat known as the ""Eleven Kings of Sol."" Evicted from Earth by the United Nations, GGG must now travel to the far reaches of the galaxy to battle the Eleven Kings of Sol and save Mamoru before it`s too late. (Source: ANN)"
Kyuuketsuhime Miyu,1384,OVA,4,6.98,3867,4143,7095,61,1988-07-21T00:00:00+00:00,1989-04-21T00:00:00+00:00,28 min per ep,"A quiet gothic horror story about a vampire girl, Miyu, whose destiny it is to hunt down murderous demons known as Shinma and return them to their land of origin, the Dark. Miyu is pursued by the Spiritualist Himiko, determined to find out who Miyu is and to stop her from sucking the life blood from helpless humans. Each of the four episodes chronicle one of Miyu's encounters with a Shinma and the humans that it is affecting, from the perspective of Himiko's pursuit of Miyu. (Source: AniDB)"
