,Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
1692,True,,Les amants criminels,1999,TV-MA,18 Aug 1999,96 min,"Crime, Drama, Thriller",François Ozon,"François Ozon, Marcia Romano, Annabelle Perrichon","Natacha Régnier, Jérémie Renier, Predrag 'Miki' Manojlovic","Modern retelling of Hansel and Gretel. After committing a murder, a young couple on the run find refuge in a remote cottage in the woods, where they become trapped by the perverse hermit who lives there.",French,France,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMzA1NWZkNzctYmZlYi00ZjdiLThjZWUtNWFhZWVkMDgwNjU0XkEyXkFqcGdeQXVyODU4MzMxNDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.5,"4,089",tt0205735,movie,21 Aug 2001,"$50,470",NaN,NaN
1693,True,,The Big Split,1999,NaN,23 Oct 1999,90 min,"Comedy, Romance",Martin Hynes,Martin Hynes,"Martin Hynes, Judy Greer, Darryl McCane","Frank is a composer who works as a driving instructor to pay his bills. Tracy is a New York-born documentary filmmaker who is learning to drive. Soon the two are engaged, much to the astonishment of their friends.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BYTUxZTEyZTItMzRkZi00Yzk0LWI2ZWMtNjcyZTQ1N2Q0NGZlXkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",NaN,6.2,103,tt0205774,movie,NaN,NaN,NaN,NaN
1694,True,,El corazón del guerrero,1999,NaN,21 Jan 2000,110 min,"Adventure, Drama, Fantasy",Daniel Monzón,Daniel Monzón,"Fernando Ramallo, Neus Asensi, Joel Joan","Beldar and Sonja, a couple of thieves belonging to the legendary world of sword and sorcery, steal a precious stone shaped like a human heart in the gloomy crypt of the Order of the Thousand Eyes, an evil sect of powerful wizards. Wh",Spanish,Spain,4 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BODM0YTNjNjYtYjA1OS00NDcwLTk5ZTAtOThiN2JmM2Y1Mzk1XkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",NaN,5.5,973,tt0205843,movie,05 Sep 2006,NaN,NaN,NaN
1695,True,,Ein Jahr - die Anrheiner,1999,NaN,NaN,NaN,NaN,Xao Seffcheque,Xao Seffcheque,NaN,NaN,NaN,Germany,NaN,NaN,[],NaN,NaN,NaN,tt0205904,movie,NaN,NaN,NaN,NaN
1696,True,,Enbamingu,1999,NaN,30 Jul 1999,96 min,"Drama, Horror, Mystery",Shinji Aoyama,"Michiko Matsuda, Shinji Aoyama, Izô Hashimoto","Kôjirô Hongô, Masatoshi Matsuo, Yutaka Matsushige","After the head of the corpse of a teenager she's restoring is stolen, an embalmer encounters the organ black market and a necrotomic religious cult.",Japanese,Japan,NaN,https://m.media-amazon.com/images/M/MV5BODhmNDc2ZjktZWQ4OS00NmIzLTg1MTMtYTc0ZGMxYjQ2N2YzXkEyXkFqcGdeQXVyMjExMzEyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",NaN,5.2,233,tt0205907,movie,NaN,NaN,NaN,NaN
1697,True,,Fantozzi 2000 - La clonazione,1999,NaN,23 Dec 1999,100 min,Comedy,Domenico Saverni,"Alessandro Bencivenni, Domenico Saverni","Paolo Villaggio, Milena Vukotic, Anna Mazzamauro",Ugo Fantozzi was resurrected from the company where he worked because of a crisis. How it will end?,Italian,Italy,NaN,https://m.media-amazon.com/images/M/MV5BYmRjYzJmYjQtNzc2OC00OGRmLTg1N2YtYjM2Y2JjN2MwYmQzXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",NaN,4.5,"1,030",tt0205924,movie,NaN,NaN,NaN,NaN
1698,True,,Le grand serpent du monde,1999,NaN,05 Jul 1999,99 min,Drama,Yves Dion,Monique Proulx,"Murray Head, Zoe Latraverse, Gabriel Arcand","A young 40-something refuses to grow up. Behind the wheel of his bus, he drives endlessly through the city dreaming of the landscape of the American West that forever impressed him.",French,Canada,6 nominations,https://m.media-amazon.com/images/M/MV5BNzU0MWUxOTctODdiYy00OTI3LWI2NjktZTk5ZjI3ZWQ5Mzc2XkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",NaN,6.0,94,tt0205976,movie,NaN,NaN,NaN,NaN
1699,True,,La grande prugna,1999,NaN,26 Nov 1999,NaN,Comedy,Claudio Malaponti,"Giorgio Centamore, Claudio Malaponti, Margherita Volo","Enzo Iacchetti, Natasha Stefanenko, Enrico Bertolino, Ale",NaN,Italian,Italy,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",NaN,4.6,54,tt0205979,movie,NaN,NaN,NaN,NaN
1700,True,,Hôhokekyo tonari no Yamada-kun,1999,PG,22 Dec 2000,104 min,"Animation, Comedy, Family",Isao Takahata,"Hisaichi Ishii, Isao Takahata, Leo Chu","Yukiji Asaoka, Tôru Masuoka, Masako Araki",The life and misadventures of a family in contemporary Japan.,Japanese,Japan,NaN,https://m.media-amazon.com/images/M/MV5BZDBhYThkMWMtZTBlMi00NzMyLWE3YTktMjVjOWUwOTEyMjNlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.2,"13,265",tt0206013,movie,16 Aug 2005,NaN,NaN,NaN
1701,True,,Hote Hote Pyar Hogaya,1999,NaN,10 Jun 1999,140 min,"Romance, Action, Crime",Firoz Irani,"Firoz Irani, Anil Kalekar, Madhusudan Kalelkar","Kajol, Atul Agnihotri, Jackie Shroff","Pinky and Atul alias Bunty are in love with each other, and plan to marry. They, however, run into opposition with their respective families, as their life-partners have already been picked for them. Pinky's dad, a retired Colonel ha",Hindi,India,NaN,https://m.media-amazon.com/images/M/MV5BMjAzOTE1NDg5MV5BMl5BanBnXkFtZTcwNTM2ODgzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",NaN,5.0,310,tt0206020,movie,NaN,"$214,574",NaN,NaN
1702,True,,Kachche Dhaage,1999,Not Rated,19 Feb 1999,144 min,"Action, Drama, Thriller",Milan Luthria,"Sanjay Chhel, Anjum Rajabali","Ajay Devgn, Saif Ali Khan, Manisha Koirala",Two stepbrothers who loathe each other have to work together to avoid being framed for terrorist activities.,Hindi,India,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZWFmZDQ5OGEtNzdkYy00ZjM5LTg1NzEtMTA2MWEwOTc1MjI3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",NaN,6.0,"1,534",tt0206067,movie,NaN,NaN,NaN,NaN
1703,True,,Katy,1999,NaN,NaN,50 min,Documentary,Rachel Shvarts,Rachel Shvarts,NaN,NaN,Hebrew,Israel,NaN,NaN,[],NaN,NaN,NaN,tt0206070,movie,NaN,NaN,NaN,NaN
1704,True,,Keïd Ensa,1999,NaN,23 Sep 1999,90 min,"Drama, Family, Music, Romance",Farida Benlyazid,Farida Benlyazid,"Samia Akarriou, Rachid El Ouali, Abderrahim Bayga, Amina Alaoui",NaN,Arabic,"Morocco, France, Switzerland, Tunisia",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZTMxNzYxMGYtZmVjMC00NmMyLWEzY2UtZDYwN2RiOWQ1N2RiXkEyXkFqcGdeQXVyNjg4OTg3OTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",NaN,6.1,58,tt0206072,movie,NaN,NaN,NaN,NaN
1705,True,,Kimi no tame ni dekiru koto,1999,NaN,NaN,113 min,"Drama, Romance",Tetsuo Shinohara,"Yuka Murayama (story), Miyuki Takahashi","Takashi Kashiwabara, Masumi Sanada, Ikko Kawai, Kôichi Iwaki",NaN,Japanese,Japan,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",NaN,7.2,8,tt0206074,movie,NaN,NaN,NaN,NaN
1706,True,,Ma Sheraiti B'Hebron,2001,NaN,06 Apr 2001,73 min,Documentary,"Dan Geva, Noit Geva",Noit Geva,NaN,"Seventy years after the 1929 Hebron massacre, directors Noit and Dan Geva bring us the personal testimony of 12 people who survived the atrocity. Noit Geva's grandmother, who was only 16 ...","Arabic, Hebrew",Israel,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",NaN,5.4,11,tt0206107,movie,NaN,NaN,NaN,NaN
1707,True,,Manolito Gafotas,1999,NaN,23 Jun 1999,89 min,"Comedy, Family",Miguel Albaladejo,"Miguel Albaladejo, Elvira Lindo","David Sánchez del Rey, Adriana Ozores, Roberto Álvarez",The usually absent father of a chubby kid shows up to take him on a road trip.,Spanish,Spain,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTIwMjU4NjA0MF5BMl5BanBnXkFtZTcwNDQ0NDMzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",NaN,6.0,"1,057",tt0206117,movie,NaN,NaN,NaN,NaN
1708,True,,Marionette,1999,NaN,NaN,NaN,NaN,Danica DeCosto,NaN,"Mayumi Roehm, Sarah Turchan, Austin Walder, Saferia DeGraffenreid",NaN,English,USA,NaN,NaN,[],NaN,NaN,NaN,tt0206121,movie,NaN,NaN,NaN,NaN
1709,True,,Martin,1999,NaN,NaN,50 min,Documentary,Ra'anan Alexandrowicz,Ra'anan Alexandrowicz,NaN,NaN,Hebrew,"Israel, Switzerland",1 win & 1 nomination.,NaN,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",NaN,7.1,10,tt0206124,movie,NaN,NaN,NaN,NaN
1710,True,,Menelik - Black Jewish Prince,1999,NaN,NaN,56 min,Documentary,Daniel Wachsmann,"Daniel Wachsmann, Yigal Zur",NaN,"Gadi Abaje, a 23-year-old Ethiopian Jew who lives in the Tel Aviv's Central Bus Station. His mother was forced to stay in Ethiopia. The film follows Gadi as he returns to Ethiopia for an emotional encounter with his mother.","Amharic, Hebrew",Israel,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BODk5ZjY4MjQtZmQ1Yy00NjI3LWE3M2MtN2E2Y2FjNzU1NDVmXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,[],NaN,NaN,NaN,tt0206133,movie,NaN,NaN,NaN,NaN
1711,True,,"Mon père, ma mère, mes frères et mes soeurs",1999,NaN,16 Jun 1999,90 min,"Comedy, Family",Charlotte de Turckheim,"Philippe Giangreco, Charlotte de Turckheim","Victoria Abril, Charlotte de Turckheim, Alain Bashung",Young single mother has two sons and a daughter by three different fathers who are completely unaware of having fathered them. Anne's mother conjures up a plot to make everyone involved to go on a beach holiday in Mexico at the same ,"French, Spanish","France, Spain",NaN,https://m.media-amazon.com/images/M/MV5BMTIyNTA1NTU0MF5BMl5BanBnXkFtZTcwNjEyODQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",NaN,5.3,301,tt0206151,movie,NaN,NaN,NaN,NaN
1712,True,,Montage at Metreon,1999,NaN,NaN,NaN,NaN,Nicholas Siapkaris,"Nicholas Siapkaris, Jack Sojka",NaN,NaN,English,USA,NaN,NaN,[],NaN,NaN,NaN,tt0206153,movie,NaN,NaN,NaN,NaN
1713,True,,Peretz V'Ha-Ze'ev,1999,NaN,NaN,51 min,Documentary,Amit Goren,Amit Goren,NaN,NaN,"English, Mongolian, Hebrew",Israel,NaN,NaN,[],NaN,NaN,NaN,tt0206204,movie,NaN,NaN,NaN,NaN
1714,True,,Poppoya,1999,NaN,05 Jun 1999,112 min,Drama,Yasuo Furuhata,"Jirô Asada, Yoshiki Iwama","Ken Takakura, Shinobu Ôtake, Ryôko Hirosue",The touching reminiscing of an elderly railroad-station manager is interrupted by the sudden appearance of some good-natured girls.,Japanese,Japan,22 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BYzg1MmJkNGQtYmFlYi00MGYwLWI4ZDgtYzU1MmM3MjYwMDg3XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",NaN,7.0,"1,139",tt0206216,movie,NaN,NaN,NaN,NaN
1715,True,,Rig'ei Hesed,1999,NaN,NaN,54 min,Documentary,Jorge Gurvich,Joseph Shiloach,NaN,NaN,Hebrew,Israel,NaN,NaN,[],NaN,NaN,NaN,tt0206249,movie,NaN,NaN,NaN,NaN
1716,True,,Senza movente,1999,Not Rated,27 Aug 1999,88 min,"Crime, Drama, Thriller",Luciano Odorisio,Sergio Donati,"Anita Caprioli, Ennio Fantastichini, Antonino Iuorio","Based on a true crime story, the film tells the story of Julia, a girl who lives in a small town in the South. One evening she undergoes sexual violence and her life changes completely. Later she becomes the mistress of the wealthy i",Italian,Italy,NaN,https://m.media-amazon.com/images/M/MV5BYTk2OTEzNGEtOThmYS00NjBjLWFlZTktNzQyOTNjZTc0ZWZmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",NaN,5.1,13,tt0206281,movie,NaN,NaN,NaN,NaN
1717,True,,Sexual Chemistry,1999,R,NaN,97 min,"Comedy, Sci-Fi",Mike Sedan,Helen Haxton,"Jeff Xander, Stephanee LaFleur, Chanda Marie",At Biotec the scientists are trying to develop a sexually stimulating drug for both men and women. Robert tries his on himself and it turns him on and off into a sexy woman and back to himself making things complicated.,English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTQxOTgzMjgwNF5BMl5BanBnXkFtZTcwNDQ4ODMyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",NaN,4.8,290,tt0206285,movie,NaN,NaN,NaN,NaN
1718,True,,Siman M'Shamayim,1999,NaN,NaN,55 min,Documentary,Ariella Azoulay,Ariella Azoulay,NaN,NaN,Hebrew,Israel,NaN,NaN,[],NaN,NaN,NaN,tt0206297,movie,NaN,NaN,NaN,NaN
1719,True,,Sometime in August,1999,NaN,NaN,82 min,Drama,Caio Ribeiro,Caio Ribeiro,"Michael Medeiros, Sylva Kelegian, Glenn English, Teri Keane",NaN,English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNzIyMjEzOTI5NV5BMl5BanBnXkFtZTcwNDAwMDU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",NaN,7.5,31,tt0206309,movie,NaN,NaN,NaN,NaN
1720,True,,The Spangled Star,1999,NaN,NaN,NaN,NaN,Josh Chandler,Josh Chandler,"Bob Casper, Kevin Patrick Kelly",NaN,English,USA,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",NaN,6.0,26,tt0206311,movie,NaN,NaN,NaN,NaN
1721,True,,Dak ging san yan lui,1999,R,18 Jun 1999,114 min,"Action, Comedy, Crime",Benny Chan,"Benny Chan, Koan Hui, Yee-Wah Lee","Nicholas Tse, Stephen Fung, Sam Lee","A ridiculed HK cop hires 3 cadets, directly (thrown) out of police academy, to go undercover and get the criminals, who stole explosives and killed his partner.","Cantonese, English, Japanese",Hong Kong,7 nominations,https://m.media-amazon.com/images/M/MV5BYTVlNTcxNzktNzIxMC00YTcyLWIyNmMtZDEzZDc2NjkzMzQ5XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",NaN,5.9,"2,252",tt0206334,movie,18 Apr 2000,NaN,NaN,NaN
1722,True,,V leru,1999,NaN,12 Apr 2002,90 min,"Comedy, Drama",Janez Burger,"Janez Burger, Jan Cvitkovic","Jan Cvitkovic, Natasa Burger, Janez Rus","Dizzy is a perennial student living in a small double room in a hostel. He never seems to study, but spends his time sleeping, watching TV, and drinking. Marko, a studious freshman from the country, is assigned to the other bed in th",NaN,Slovenia,10 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMmI5Mzc0NmYtYTUwNi00ZmRmLTlkNGYtZGYzY2YxZGZjNDdkXkEyXkFqcGdeQXVyMjA3NzEwODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",NaN,7.3,401,tt0206385,movie,NaN,NaN,NaN,NaN
1723,True,,La via degli angeli,1999,NaN,03 Dec 1999,121 min,"Comedy, Romance",Pupi Avati,"Antonio Avati, Pupi Avati","Gianni Cavina, Valentina Cervi, Carlo Delle Piane",This is a wonderful story of a matchmaking event in Italy. Young men and women are escorted to a midsummer dance. There is a man who coordinates the proper arrangements and the mountain villages send their youth.,Italian,Italy,2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BM2FhMTg3NGMtMzUyMS00NDNiLTlhNzMtZjk2ZGM1ZWM5ZTFjXkEyXkFqcGdeQXVyNjU4MTk2NjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",NaN,6.6,176,tt0206393,movie,NaN,NaN,NaN,NaN
1724,True,,Warm Blooded Killers,1999,R,NaN,83 min,"Comedy, Crime","Nicholas Siapkaris, Stephen Langford",Stephen Langford,"Mick Murray, Constance Zimmer, F. William Parker","John Portenza is a hit man and baseball card collector, working on his anger management. His little sister Vicky works alongside her brother in the people removal business.",English,United States,NaN,https://m.media-amazon.com/images/M/MV5BMTY2MTQwNTkwNF5BMl5BanBnXkFtZTYwODcwNDk5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",NaN,5.9,103,tt0206405,movie,17 Aug 2004,NaN,NaN,NaN
1725,True,,Guai tan: Mo jing,1999,NaN,16 Sep 1999,87 min,"Crime, Horror, Mystery","Kiefer Liu, Wing Siu",Raymond Pak-Ming Wong,"Nicholas Tse, Ruby Lin, John Cheng","Three tragic stories happen around a mysterious mirror, which belongs to a courtesan in the 16th century China, who was murdered by a treacherous lover, and laid a curse on the mirror before her death.",NaN,"Hong Kong, China",NaN,https://m.media-amazon.com/images/M/MV5BNWE0ZDIxMTAtYThiYi00MjQ5LTk4MzYtMzljNTg0MDJhZmE2XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",NaN,4.8,144,tt0206427,movie,NaN,"$69,225",NaN,NaN
1726,True,,Zman Avir,1999,NaN,NaN,80 min,Drama,Isaac Zepel Yeshurun,Isaac Zepel Yeshurun,"Evgenia Dodina, Dvir Benedek, Maya Cohen, Mike Furman",NaN,Hebrew,Israel,NaN,https://m.media-amazon.com/images/M/MV5BZjBhYzNkYTktOWY4MC00ZjEyLTk4YTAtYjMzNzlmNDJlNGRkXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",NaN,7.2,5,tt0206457,movie,NaN,NaN,NaN,NaN
1727,True,,...ich bin keiner von uns,1999,NaN,NaN,60 min,Documentary,Ralf Zöller,NaN,NaN,NaN,German,Germany,NaN,https://m.media-amazon.com/images/M/MV5BY2QxYzczZDktNTkwZS00YjYxLTkxNDgtNzNjNWQzZDExMjE3XkEyXkFqcGdeQXVyMDUzMzg1NQ@@._V1_SX300.jpg,[],NaN,NaN,NaN,tt0206521,movie,NaN,NaN,NaN,NaN
1728,True,,And Baby Makes 2,1999,NaN,NaN,58 min,Documentary,"Judy Katz, Oren Rudavsky",NaN,NaN,NaN,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTU4NzQ0NzkyM15BMl5BanBnXkFtZTcwNDg2ODIyMQ@@._V1_SX300.jpg,[],NaN,NaN,NaN,tt0206551,movie,NaN,NaN,NaN,NaN
1729,True,,Auditions,1999,NaN,NaN,85 min,NaN,Michael Tierno,Michael Tierno,"Michael Shane Davis, Jeffrey Farber, Jules Gregory, Marc Krinsky",Three who can't get a date find a way to end the relationship drought when they come up with the bright idea of writing a script and holding auditions as a way to meet members of the opposite sex.,English,USA,1 win.,NaN,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",NaN,6.8,36,tt0206570,movie,29 May 2007,NaN,NaN,NaN
1730,True,,Big Monday,1998,NaN,NaN,75 min,NaN,Michael T. Rehfield,NaN,"David Campbell, Mary Geralyn Cassidy, Joseph D'Alesandro, Jay Deitz",A young man wanders through the streets of Manhattan in search of a job interview.,English,USA,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",NaN,5.6,25,tt0206591,movie,NaN,NaN,NaN,NaN
1731,True,,Blade Sisters,1999,NaN,NaN,NaN,NaN,"Donald G. Jackson, Scott Shaw","Donald G. Jackson, Scott Shaw","Maria Celeste Genitempo, Jimmy Jean-Louis, Natasha McCrea",NaN,English,United States,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '2.0/10'}]",NaN,2.0,5,tt0206598,movie,NaN,NaN,NaN,NaN
1732,True,,Bugaboo,1999,NaN,01 Jul 1999,82 min,Comedy,Sujit Saraf,"Sanjay Rajagopalan, Sujit Saraf","Sujit Saraf, Maheshwar Umasankar, Amit Nanavati, Rajiv Nema",BUGABOO is a Silicon Valley film. It has been produced by people who live and work in Silicon Valley and who have prospered with the high-tech boom of the nineties. The Internet and the ...,English,USA,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",NaN,5.0,21,tt0206610,movie,30 Sep 2003,NaN,NaN,NaN
1733,True,,"Ciao, Babe",1999,NaN,NaN,NaN,NaN,Will Huston,Will Huston,Ali Raymer,NaN,English,USA,NaN,NaN,[],NaN,NaN,NaN,tt0206639,movie,NaN,NaN,NaN,NaN
1734,True,,Eisenstein in Alma-Ata,1999,NaN,06 Jul 1999,82 min,Documentary,Igor Gonopolsky,NaN,NaN,NaN,Kazakh,Kazakhstan,NaN,NaN,[],NaN,NaN,NaN,tt0206709,movie,NaN,NaN,NaN,NaN
1735,True,,Nós Que Aqui Estamos por Vós Esperamos,1999,NaN,05 Jun 2000,73 min,Documentary,Marcelo Masagão,Marcelo Masagão,Franz Reichelt,"A fascinating and poetical collage of countless images from the 20th century with the purpose of revealing matters of life and death during the era and its many social, cultural and political transformations, with the director making",Portuguese,Brazil,12 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BZmJhN2FjY2EtMjI3Yi00ZjRiLWI3NzEtNGNjZWEzN2RkYzk5XkEyXkFqcGdeQXVyNDQ5MDYzMTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",NaN,8.2,726,tt0206805,movie,NaN,NaN,NaN,NaN
1736,True,,Iran saray-e man ast,1999,NaN,NaN,84 min,"Drama, Fantasy, History",Parviz Kimiavi,Parviz Kimiavi,"Behzad Khodaveisi, Saeed Poursamimi, Parviz Shahinkhou","Sohrab, a provincial young writer, is lost in the desert on the way to Tehran to get a publication license for his book on old Persian poetry, but the trip involves some bizarre events.",Persian,Iran,NaN,https://m.media-amazon.com/images/M/MV5BYjY1MjMzNzgtOTk4NS00NjFjLWIwMWUtYzExZTYwMWUyZTBkXkEyXkFqcGdeQXVyNDYyMDUyNzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",NaN,7.3,95,tt0206833,movie,NaN,NaN,NaN,NaN
1737,True,,Joseph's Gift,1999,PG-13,NaN,94 min,Drama,Philippe Mora,Patricia Monville,"Freddy Rodríguez, Brion James, Robert Townsend, John Saxon","A modern retelling of the biblical story ""Joseph and His Coat of Many Colors"", set in LA's garment district.",English,USA,NaN,https://m.media-amazon.com/images/M/MV5BY2Q0OWZiYjAtNTM2YS00NDdmLTk2YzUtNTkyMDRmNDkyOTQ5XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",NaN,6.8,92,tt0206845,movie,26 Jan 2018,NaN,NaN,NaN
1738,True,,The Last Big Attraction,1999,NaN,NaN,90 min,"Comedy, Romance",Hopwood DePree,Hopwood DePree,"Hopwood DePree, Christine Elise, Victoria Haas, Richard Speight Jr.",NaN,English,USA,3 wins & 1 nomination.,NaN,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",NaN,6.9,51,tt0206872,movie,NaN,NaN,NaN,NaN
1739,True,,Mann,1999,Not Rated,22 Jun 1999,160 min,"Drama, Romance",Indra Kumar,"Mildred Cram, Aatish Kapadia, Naushir Khatau","Aamir Khan, Manisha Koirala, Sharmila Tagore","A young woman falls in love with a handsome playboy, while aboard a Singapore to India cruise. They make plans to meet again, but fate may have other plans...",Hindi,India,NaN,https://m.media-amazon.com/images/M/MV5BZmM3YzU3NmEtMmM4ZS00YWQwLWJjYTktZDAyMTI4MTY2MmVlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",NaN,6.2,"5,273",tt0206921,movie,09 Sep 2016,NaN,NaN,NaN
1740,True,,"Mobutu, roi du Zaïre",1999,NaN,02 Jun 1999,135 min,Documentary,Thierry Michel,"Thierry Michel, Lye Mudaba","Raymond Barre, Jacques Chirac, Valéry Giscard d'Estaing","Thiery Michel takes an in-depth look at the reign of Mobutu Sese Seko. A man of ""modest roots"" who had a Catholic upbringing, Mobutu was sent to the army by his father for insubordination. Soon he would be Patrice Lumumba's right-han","English, French","Belgium, France",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjE5NDA3MTY4OV5BMl5BanBnXkFtZTcwMjE3NTIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",NaN,7.7,210,tt0206944,movie,NaN,NaN,NaN,NaN
1741,True,,Punitive Damage,1999,NaN,16 May 1999,73 min,Documentary,Annie Goldson,NaN,NaN,"The story of New Zealander Helen Todd's law suit against an Indonesian general that she pursued after her son, Kamal, was shot dead in the Dili massacre in East Timor.",English,New Zealand,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjAyNTQwNDcxOV5BMl5BanBnXkFtZTgwODkyOTk1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",NaN,7.1,62,tt0207030,movie,NaN,NaN,NaN,NaN
1742,True,,Shogun Cop,1999,NaN,01 Nov 1999,NaN,Action,Frederick Bailey,Frederick Bailey,"Barbara Patrick, Robert Patrick, Natsumi Sawai, Wes Thompson",Robert Patrick and Jerry Trimble starring in this american/japanese high-octane fantasy action/adventure/ martial arts movie about a sword-wielding superhero.,English,USA,NaN,NaN,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",NaN,5.6,15,tt0207100,movie,NaN,NaN,NaN,NaN
